GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika Common,org.nasdanika.common.descriptors,DescriptorSet,147,0,32,0,33,0,19,0,3,0
Nasdanika Common,org.nasdanika.common.descriptors,ValueDescriptor.Control,69,0,0,0,2,0,1,0,1,0
Nasdanika Common,org.nasdanika.common,ConsumerFactory,16,0,0,0,3,0,3,0,3,0
Nasdanika Common,org.nasdanika.common,ProgressRecorder.new ProgressRecorder.Step() {...},0,30,0,0,0,6,0,3,0,3
Nasdanika Common,org.nasdanika.common,FilterCommand,10,0,0,0,4,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,CommandFactory.new CommandFactory() {...},20,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,MapCompoundSupplierFactory,82,0,4,0,19,0,8,0,6,0
Nasdanika Common,org.nasdanika.common,SupplierFactory.new SupplierFactory() {...},21,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,SupplierFactory.new FunctionFactory() {...},13,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,ConsumerFactory.new FunctionFactory() {...},13,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,Diagnostic,155,5,27,1,33,2,17,1,3,1
Nasdanika Common,org.nasdanika.common,SupplierFactory.new CommandFactory() {...},21,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,ConsumerFactory.new FunctionFactory() {...},13,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,SupplierFactory.new SupplierFactory() {...},20,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,ConsumerFactory.new ConsumerFactory() {...},20,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,SupplierFactory.new SupplierFactory() {...},27,0,0,0,2,0,3,0,3,0
Nasdanika Common,org.nasdanika.common,ContextifiedExecutionParticipant.ContextifiedCommand,18,0,0,0,4,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,DelimitedStringMap.new Map.Entry() {...},5,25,1,1,1,3,2,3,1,3
Nasdanika Common,org.nasdanika.common,ListCompoundConsumer,63,0,10,0,19,0,8,0,3,0
Nasdanika Common,org.nasdanika.common,Function.new Function() {...},27,0,0,0,5,0,3,0,3,0
Nasdanika Common,org.nasdanika.common,ListCompoundFunctionFactory,65,0,4,0,16,0,7,0,5,0
Nasdanika Common,org.nasdanika.common,ReflectiveConverter,66,175,17,33,18,38,17,18,1,9
Nasdanika Common,org.nasdanika.common,Diagnosable.new Diagnostic() {...},6,5,0,0,3,2,3,2,3,2
Nasdanika Common,org.nasdanika.common,NullProgressMonitor,18,0,2,0,8,0,7,0,6,0
Nasdanika Common,org.nasdanika.common,Util.new Function() {...},22,0,0,0,6,0,4,0,4,0
Nasdanika Common,org.nasdanika.common,ProgressMonitor.new ProgressMonitor() {...},51,0,0,0,9,0,6,0,6,0
Nasdanika Common,org.nasdanika.common,ProgressMonitor.new ProgressMonitor() {...},2,67,2,2,0,12,2,6,0,6
Nasdanika Common,org.nasdanika.common,SimpleMutableResourceLocator,7,0,0,0,4,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,Util.new Function() {...},15,0,0,0,4,0,4,0,4,0
Nasdanika Common,org.nasdanika.common,Util.new Function() {...},15,0,0,0,4,0,4,0,4,0
Nasdanika Common,org.nasdanika.common,Util.new Function() {...},43,0,6,0,10,0,7,0,4,0
Nasdanika Common,org.nasdanika.common,ContextifiedExecutionParticipant.ContextifiedConsumer,19,0,0,0,4,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,Util.new Function() {...},15,0,0,0,4,0,4,0,4,0
Nasdanika Common,org.nasdanika.common,Util.new Function() {...},14,0,2,0,4,0,5,0,4,0
Nasdanika Common,org.nasdanika.common,Util.new Function() {...},15,0,0,0,4,0,4,0,4,0
Nasdanika Common,org.nasdanika.common,Util.new Function() {...},30,0,4,0,8,0,6,0,4,0
Nasdanika Common,org.nasdanika.common,AbstractSplitJoinCollection.new Iterator() {...},0,73,0,2,0,9,0,5,0,4
Nasdanika Common,org.nasdanika.common,Context.7.new Converter() {...},2,6,0,0,1,1,1,1,1,1
Nasdanika Common,org.nasdanika.common,Util.new Function() {...},22,0,0,0,6,0,4,0,4,0
Nasdanika Common,org.nasdanika.common,FunctionFactory.new ConsumerFactory() {...},21,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,Supplier.new Supplier() {...},44,0,0,0,10,0,8,0,8,0
Nasdanika Common,org.nasdanika.common,FunctionFactory.new FunctionFactory() {...},20,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,Supplier.new Supplier() {...},23,0,0,0,4,0,4,0,4,0
Nasdanika Common,org.nasdanika.common,FunctionFactory.new FunctionFactory() {...},11,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,Supplier.new Supplier() {...},6,3,0,0,3,1,3,1,3,1
Nasdanika Common,org.nasdanika.common,Supplier.new Function() {...},45,0,0,0,11,0,8,0,8,0
Nasdanika Common,org.nasdanika.common,DiagramGenerator,51,0,0,0,10,0,10,0,10,0
Nasdanika Common,org.nasdanika.common,Supplier.new Supplier() {...},29,0,0,0,6,0,4,0,4,0
Nasdanika Common,org.nasdanika.common,Supplier.new Callable() {...},89,0,0,0,14,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,CollectionCompoundConsumer,48,0,6,0,13,0,6,0,3,0
Nasdanika Common,org.nasdanika.common,ListCompoundFunction,58,0,6,0,13,0,6,0,3,0
Nasdanika Common,org.nasdanika.common,DiagnosticException,16,0,0,0,6,0,3,0,3,0
Nasdanika Common,org.nasdanika.common,FunctionFactory.new FunctionFactory() {...},21,0,0,0,2,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,ElementIdentityMapCompoundSupplierFactory,80,0,6,0,20,0,7,0,4,0
Nasdanika Common,org.nasdanika.common,CollectionCompoundConsumerFactory,65,0,4,0,16,0,7,0,5,0
Nasdanika Common,org.nasdanika.common,NasdanikaException,45,0,0,0,18,0,8,0,8,0
Nasdanika Common,org.nasdanika.common,ListCompoundExecutionParticipant,0,22,0,0,0,7,0,3,0,3
Nasdanika Common,org.nasdanika.common,MapCompoundFunction,51,0,4,0,13,0,5,0,3,0
Nasdanika Common,org.nasdanika.common,ContextifiedExecutionParticipant,126,0,12,0,25,0,14,0,8,0
Nasdanika Common,org.nasdanika.common,FilterExecutionParticipant,33,0,0,0,11,0,7,0,7,0
Nasdanika Common,org.nasdanika.common,ElementIdentityMapCompoundSupplierFactory.new Supplier() {...},24,0,0,0,4,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,ElementIdentityMapCompoundExecutionParticipant,27,0,2,0,8,0,4,0,3,0
Nasdanika Common,org.nasdanika.common,Function.new Consumer() {...},27,0,0,0,6,0,3,0,3,0
Nasdanika Common,org.nasdanika.common,CommandFactory,6,0,0,0,1,0,1,0,1,0
Nasdanika Common,org.nasdanika.common,CompoundCommandFactory,64,0,2,0,15,0,6,0,5,0
Nasdanika Common,org.nasdanika.common,BiSupplier,13,0,0,0,3,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,FilterProgressMonitor,36,0,0,0,11,0,6,0,6,0
Nasdanika Common,org.nasdanika.common,DefaultConverter,564,61,40,2,113,13,64,9,44,8
Nasdanika Common,org.nasdanika.common,Context,274,272,54,34,63,57,49,25,16,14
Nasdanika Common,org.nasdanika.common,AbstractSplitJoinCollection,0,41,0,0,0,9,0,5,0,5
Nasdanika Common,org.nasdanika.common,MapCompoundConsumerFactory,82,0,4,0,19,0,8,0,6,0
Nasdanika Common,org.nasdanika.common,MapCompoundExecutionParticipant,24,0,0,0,7,0,3,0,3,0
Nasdanika Common,org.nasdanika.common,ElementIdentityMapCompoundFunctionFactory.new Function() {...},25,0,0,0,4,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,StringMapCompoundSupplier,10,0,0,0,4,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,CompoundCommand,125,0,12,0,27,0,10,0,4,0
Nasdanika Common,org.nasdanika.common,ListCompoundSupplier,10,47,2,4,2,11,2,4,0,3
Nasdanika Common,org.nasdanika.common,AbstractSplitJoinSet,95,11,23,1,27,3,15,2,3,2
Nasdanika Common,org.nasdanika.common,MapCompoundSupplier,50,0,4,0,13,0,5,0,3,0
Nasdanika Common,org.nasdanika.common,Command,43,0,0,0,9,0,6,0,6,0
Nasdanika Common,org.nasdanika.common,ElementIdentityMapCompoundSupplier,46,0,2,0,11,0,4,0,3,0
Nasdanika Common,org.nasdanika.common,BiSupplier.new BiSupplier() {...},23,0,0,0,4,0,4,0,4,0
Nasdanika Common,org.nasdanika.common,BeanPropertyComputer,290,0,50,0,55,0,30,0,5,0
Nasdanika Common,org.nasdanika.common,Composeable,13,0,4,0,5,0,3,0,1,0
Nasdanika Common,org.nasdanika.common,Function,208,5,0,0,34,1,13,1,13,1
Nasdanika Common,org.nasdanika.common,FilterFunction,11,0,0,0,3,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,FilterConsumer,11,0,0,0,4,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,Consumer,140,0,0,0,27,0,13,0,13,0
Nasdanika Common,org.nasdanika.common,Converter.new Converter() {...},25,0,2,0,3,0,3,0,2,0
Nasdanika Common,org.nasdanika.common,CompoundCommand.new Callable() {...},16,0,0,0,3,0,2,0,2,0
Nasdanika Common,org.nasdanika.common,MutableContext.new MutableContext() {...},67,0,0,0,14,0,9,0,9,0
Nasdanika Common,org.nasdanika.common,PrintStreamProgressMonitor,16,124,5,9,4,27,5,10,0,8
