GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java API for working with Drawio diagrams,org.nasdanika.drawio.comparators,AngularNodeComparator.new Point() {...},50,0,0,0,8,0,8,0,8,0
Java API for working with Drawio diagrams,org.nasdanika.drawio.comparators,AngularNodeComparator.new Rectangle() {...},73,0,0,0,13,0,13,0,13,0
Java API for working with Drawio diagrams,org.nasdanika.drawio.comparators,LabelModelElementComparator,72,0,22,0,22,0,13,0,2,0
Java API for working with Drawio diagrams,org.nasdanika.drawio.comparators,AngularNodeComparator,201,0,38,0,50,0,24,0,5,0
Java API for working with Drawio diagrams,org.nasdanika.drawio.comparators,PropertyModelElementComparator,75,0,22,0,20,0,13,0,2,0
Java API for working with Drawio diagrams,org.nasdanika.drawio.comparators,CartesianNodeComparator,5,0,0,0,2,0,2,0,2,0
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,LayerImpl,0,122,2,2,0,25,2,4,0,4
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,ElementImpl,40,134,12,20,13,25,14,12,4,6
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,ModelImpl,47,384,14,32,9,74,14,25,1,15
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,PointImpl,128,30,21,1,26,8,17,3,6,3
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,DocumentImpl,57,447,10,22,12,102,9,20,2,11
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,ModelImpl.new AbstractList() {...},0,27,0,0,0,3,0,3,0,3
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,RootImpl,17,43,2,0,2,9,2,3,1,3
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,ConnectionImpl,12,44,3,3,3,9,3,6,0,5
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,NodeImpl,7,170,4,18,1,28,4,15,0,8
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,RectangleImpl,63,130,20,14,10,28,16,9,1,7
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,PageImpl,45,151,5,15,7,30,8,15,4,9
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,ModelElementImpl,287,430,55,51,62,76,47,39,9,24
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,ModelElementImpl.new DelimitedStringMap() {...},0,21,0,0,0,4,0,3,0,3
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,ModelElementImpl.new AbstractSplitJoinSet() {...},3,51,3,5,1,11,3,9,0,8
Java API for working with Drawio diagrams,org.nasdanika.drawio.impl,DocumentImpl.new AbstractList() {...},104,38,2,0,23,4,5,4,4,4
Java API for working with Drawio diagrams,org.nasdanika.drawio,ModelElement,2,23,1,3,1,6,1,3,0,2
Java API for working with Drawio diagrams,org.nasdanika.drawio,Document,81,194,17,19,12,34,14,13,1,8
Java API for working with Drawio diagrams,org.nasdanika.drawio,Util.new Function() {...},9,0,0,0,2,0,2,0,2,0
Java API for working with Drawio diagrams,org.nasdanika.drawio,Util.new BiFunction() {...},52,0,8,0,12,0,6,0,2,0
Java API for working with Drawio diagrams,org.nasdanika.drawio,Util.new Supplier() {...},5,242,1,13,1,21,1,9,0,3
Java API for working with Drawio diagrams,org.nasdanika.drawio,Util.new Function() {...},20,0,2,0,3,0,3,0,2,0
Java API for working with Drawio diagrams,org.nasdanika.drawio,Element,0,46,0,0,0,8,0,7,0,7
Java API for working with Drawio diagrams,org.nasdanika.drawio,Util.new Consumer() {...},0,28,0,4,0,7,0,4,0,2
Java API for working with Drawio diagrams,org.nasdanika.drawio,Util,104,616,14,50,22,109,13,37,5,13
Java API for working with Drawio diagrams,org.nasdanika.drawio,ConnectionBase,0,21,0,0,0,4,0,1,0,1
Java API for working with Drawio diagrams,org.nasdanika.drawio,LayerElement,18,0,4,0,6,0,3,0,1,0
Java API for working with Drawio diagrams,org.nasdanika.drawio.emf,DrawioEObjectFactory,139,0,12,0,30,0,14,0,8,0
Java API for working with Drawio diagrams,org.nasdanika.drawio.emf,DrawioResource,111,0,6,0,29,0,10,0,7,0
Java API for working with Drawio diagrams,org.nasdanika.drawio.emf,DrawioEObjectFactory.new Context() {...},96,0,22,0,24,0,14,0,3,0
