GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika EMF,org.nasdanika.emf.persistence,ExcelResourceFactory.new ExcelResource() {...},14,0,0,0,3,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,NcoreDrawioResourceFactory.new SemanticProcessor() {...},12,0,0,0,2,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,LoadTrackerAdapter,10,0,2,0,3,0,3,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectSupplierFactory.2.new Function() {...},32,0,2,0,7,0,5,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,ReferenceFactory.new SupplierFactory() {...},27,0,0,0,3,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,ReferenceFactory.new BiConsumer() {...},22,0,2,0,4,0,3,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,MarkedAdapter,34,0,4,0,6,0,6,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,ReferenceMap,72,0,8,0,13,0,6,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,NcoreDrawioResourceFactory.new DrawioEObjectFactory() {...},124,0,4,0,18,0,11,0,9,0
Nasdanika EMF,org.nasdanika.emf.persistence,NcoreDrawioResourceFactory.NcoreDrawioResource,42,0,2,0,11,0,5,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,ExcelResource,93,0,6,0,24,0,7,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,TextResourceFactory.TextResource,143,0,14,0,41,0,12,0,5,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectLoader.EPackageEntry,16,0,2,0,4,0,2,0,1,0
Nasdanika EMF,org.nasdanika.emf.persistence,NcoreDrawioResourceFactory,273,0,62,0,57,0,40,0,9,0
Nasdanika EMF,org.nasdanika.emf.persistence,ReferenceFactory,793,0,126,0,154,0,83,0,20,0
Nasdanika EMF,org.nasdanika.emf.persistence,MarkerFactory,11,0,0,0,4,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,ExcelResourceFactory,112,0,21,0,30,0,21,0,6,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectLoader.new Function() {...},37,0,0,0,4,0,4,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectLoader.new SupplierFactory() {...},30,0,0,0,2,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectSupplierFactory.new Reference() {...},50,0,10,0,5,0,7,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectSupplierFactory.new FunctionFactory() {...},14,0,0,0,2,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectSupplierFactory.new Function() {...},347,0,50,0,70,0,29,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,LoadingExecutionParticipant.new URIHandlerImpl() {...},21,0,4,0,3,0,5,0,3,0
Nasdanika EMF,org.nasdanika.emf.persistence,LoadingExecutionParticipant.new NcoreResourceSet() {...},21,0,4,0,2,0,4,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectLoader.new BiSupplier() {...},20,0,0,0,3,0,3,0,3,0
Nasdanika EMF,org.nasdanika.emf.persistence,NcoreObjectLoaderSupplier,22,0,0,0,5,0,3,0,3,0
Nasdanika EMF,org.nasdanika.emf.persistence,ObjectLoaderExecutionParticipant.new ObjectLoaderResourceFactory() {...},28,0,0,0,4,0,4,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,FeatureCache,44,0,4,0,9,0,5,0,3,0
Nasdanika EMF,org.nasdanika.emf.persistence,FeatureCacheAdapter,85,0,4,0,21,0,11,0,9,0
Nasdanika EMF,org.nasdanika.emf.persistence,NcoreObjectLoaderExecutionParticipant,14,0,0,0,5,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,ObjectLoaderExecutionParticipant,57,0,0,0,13,0,4,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,LoadingExecutionParticipant,358,0,36,0,66,0,30,0,12,0
Nasdanika EMF,org.nasdanika.emf.persistence,ReferenceFactory.1.new Supplier() {...},29,0,0,0,4,0,4,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,TextResourceFactory,25,0,6,0,3,0,6,0,3,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectSupplierFactory.3.new LoadTrackerAdapter() {...},32,0,2,0,4,0,5,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,ReferenceList,302,0,30,0,62,0,18,0,3,0
Nasdanika EMF,org.nasdanika.emf.persistence,GitMarkerFactory,258,0,28,0,55,0,17,0,3,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectSupplierFactory,361,0,44,0,58,0,28,0,6,0
Nasdanika EMF,org.nasdanika.emf.persistence,Reference,52,0,6,0,9,0,5,0,2,0
Nasdanika EMF,org.nasdanika.emf.persistence,ContextAdapter,23,0,2,0,6,0,5,0,4,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectLoader,997,0,154,0,192,0,110,0,33,0
Nasdanika EMF,org.nasdanika.emf.persistence,EObjectLoader.2.new Supplier() {...},62,0,0,0,6,0,4,0,4,0
Nasdanika EMF,org.nasdanika.emf,EObjectAdaptable.3.new Function() {...},55,0,6,0,10,0,7,0,4,0
Nasdanika EMF,org.nasdanika.emf,Palette.new Palette.1ContributorPredicate() {...},43,0,2,0,4,0,5,0,4,0
Nasdanika EMF,org.nasdanika.emf,Palette.new EReferencePredicate() {...},14,0,0,0,2,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf,Palette.new Palette.Contributor() {...},26,0,0,0,3,0,3,0,3,0
Nasdanika EMF,org.nasdanika.emf,Palette.new EReferencePredicate() {...},14,0,0,0,2,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf,Palette.new Palette.Contributor() {...},20,0,0,0,3,0,3,0,3,0
Nasdanika EMF,org.nasdanika.emf,Palette.new Palette.Contributor() {...},19,0,0,0,3,0,3,0,3,0
Nasdanika EMF,org.nasdanika.emf,Protected,3,0,0,0,1,0,1,0,1,0
Nasdanika EMF,org.nasdanika.emf,Palette.Registry,60,0,8,0,11,0,6,0,2,0
Nasdanika EMF,org.nasdanika.emf,ModelWorkFactory,89,0,2,0,18,0,9,0,8,0
Nasdanika EMF,org.nasdanika.emf,MermaidTextGenerator.new DependencyTracer() {...},38,0,2,0,7,0,3,0,2,0
Nasdanika EMF,org.nasdanika.emf,MermaidTextGenerator.new DependencyTracer() {...},66,0,4,0,13,0,4,0,2,0
Nasdanika EMF,org.nasdanika.emf,MermaidTextGenerator.new DependencyTracer() {...},45,0,4,0,10,0,4,0,2,0
Nasdanika EMF,org.nasdanika.emf,DelegatingAdapterFactory.DelegatingAdapter,37,0,4,0,11,0,5,0,3,0
Nasdanika EMF,org.nasdanika.emf,EObjectAdaptable.2.new Function() {...},55,0,6,0,10,0,7,0,4,0
Nasdanika EMF,org.nasdanika.emf,DiagramTextGenerator.RelationshipDirection,34,0,0,0,1,0,1,0,1,0
Nasdanika EMF,org.nasdanika.emf,SupplierAdapterFactory,20,0,0,0,6,0,3,0,3,0
Nasdanika EMF,org.nasdanika.emf,Palette.Registry.new Palette.Registry() {...},40,0,0,0,5,0,5,0,5,0
Nasdanika EMF,org.nasdanika.emf,AnnotationSource,40,0,6,0,12,0,6,0,3,0
Nasdanika EMF,org.nasdanika.emf,DiagnosticProviderAdapter,44,0,6,0,8,0,7,0,4,0
Nasdanika EMF,org.nasdanika.emf,FunctionAdapterFactory,21,0,0,0,6,0,3,0,3,0
Nasdanika EMF,org.nasdanika.emf,ComposeableAdapterFactoryImpl,27,0,2,0,9,0,6,0,5,0
Nasdanika EMF,org.nasdanika.emf,DelegatingAdapterFactory.new InvocationHandler() {...},55,0,12,0,7,0,8,0,2,0
Nasdanika EMF,org.nasdanika.emf,EObjectAdaptable.new AccessController() {...},62,0,6,0,11,0,5,0,2,0
Nasdanika EMF,org.nasdanika.emf,EObjectAdaptable.new FunctionFactory() {...},12,0,0,0,2,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf,ValidatingModelWorkFactory.new Diagnostician() {...},20,0,0,0,4,0,2,0,2,0
Nasdanika EMF,org.nasdanika.emf,ValidatingModelWorkFactory,47,0,2,0,13,0,6,0,5,0
