GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,EvalSupplierFactoryProviderAdapter,129,0,12,0,23,0,12,0,6,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,EvalSupplierFactoryProviderAdapter.new Function() {...},36,0,0,0,7,0,4,0,4,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,FailSupplierFactoryAdapter.new Supplier() {...},0,22,0,0,0,4,0,4,0,4
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,EvalSupplierFactoryProviderAdapter.new Function() {...},15,0,0,0,4,0,4,0,4,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,EvalSupplierFactoryProviderAdapter.new Function() {...},39,0,4,0,10,0,6,0,4,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,ConfiguratorExecutionParticipantAdapter.new FunctionFactory() {...},0,21,0,0,0,3,0,3,0,3
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,BlockExecutionParticipantAdapter.new Supplier() {...},0,24,0,0,0,5,0,4,0,4
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,ConfiguratorConsumerFactoryAdapter,12,30,3,1,2,7,3,2,1,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,ConfiguratorExecutionParticipantAdapter,2,62,1,3,1,14,1,3,0,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,BlockConsumerFactoryAdapter,7,119,4,2,1,15,4,7,1,7
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,BlockExecutionParticipantAdapter.BlockExecutionParticipant,89,132,28,10,15,36,20,7,1,7
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,FailSupplierFactoryAdapter,7,19,2,0,1,5,2,2,1,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,MapSupplierFactoryAdapter,7,45,2,2,1,9,2,3,1,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,FailCommandFactoryAdapter,26,0,2,0,6,0,4,0,3,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,ExecGenObjectLoaderExecutionParticipant,0,16,0,0,0,4,0,2,0,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,ExecGenObjectLoaderSupplier,0,22,0,0,0,5,0,3,0,3
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,BlockCommandFactoryAdapter,129,0,6,0,16,0,11,0,8,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,CallSupplierFactoryAdapter.new Function() {...},360,438,36,62,36,83,32,22,0,5
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,BlockCommandFactoryAdapter.BlockCommand,44,0,4,0,13,0,4,0,2,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,BlockExecutionParticipantAdapter.1.new Context() {...},24,23,8,2,6,5,5,3,0,3
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,BlockConsumerFactoryAdapter.BlockConsumer,2,45,2,2,1,12,2,2,0,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,BlockExecutionParticipantAdapter,0,13,0,0,0,4,0,2,0,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,ConfiguratorCommandFactoryAdapter,43,0,4,0,9,0,5,0,3,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,BlockSupplierFactoryAdapter.BlockSupplier,22,71,3,3,7,17,3,3,0,3
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,FailConsumerFactoryAdapter.new Consumer() {...},21,0,0,0,4,0,4,0,4,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,ExecutionParticpantAdapterFactory,0,154,0,0,0,25,0,3,0,3
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,ConfiguratorSupplierFactoryAdapter,12,30,3,1,2,7,3,2,1,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,FailCommandFactoryAdapter.new Command() {...},21,0,0,0,4,0,4,0,4,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,ListSupplierFactoryAdapter,7,39,2,2,1,8,2,3,1,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,BlockSupplierFactoryAdapter,7,128,4,4,1,18,4,7,1,6
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,CallSupplierFactoryAdapter,43,197,8,20,9,38,7,13,1,5
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen,FailConsumerFactoryAdapter,26,0,2,0,6,0,4,0,3,0
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.resources,ContainerConsumerFactoryAdapter.new ConsumerFactory() {...},0,21,0,0,0,3,0,2,0,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.resources,ContainerConsumerFactoryAdapter.new Function() {...},29,57,10,3,9,9,8,4,0,4
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.resources,FileConsumerFactoryAdapter,48,65,6,2,8,11,6,6,3,5
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.resources,ResourcesAdapterFactory,0,29,0,0,0,9,0,2,0,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.resources,ContainerConsumerFactoryAdapter,7,65,2,2,1,11,2,6,1,5
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.resources,ResourceConsumerFactoryAdapter,7,8,2,0,1,4,2,2,1,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.resources,ContainerConsumerFactoryAdapter.2.new FilterConsumer() {...},0,18,1,1,0,4,1,2,0,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.resources,FileConsumerFactoryAdapter.new Consumer() {...},153,66,21,3,18,10,14,4,0,4
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,ResourceSupplierFactoryAdapter.new Supplier() {...},66,127,11,11,4,27,10,6,0,5
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,FilterSupplierFactoryAdapter,0,40,0,0,0,8,0,4,0,4
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,ResourceSupplierFactoryAdapter,9,47,3,1,1,7,3,2,1,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,TextSupplierFactoryAdapter.new Supplier() {...},7,35,0,2,2,6,0,5,0,4
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,MarkdownSupplierFactoryAdapter,0,24,0,2,0,5,0,3,0,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,FilterSupplierFactoryAdapter.new Function() {...},7,31,0,0,2,4,0,5,0,5
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,MarkdownSupplierFactoryAdapter.new MarkdownHelper() {...},81,9,16,0,13,1,10,1,2,1
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,InterpolatorSupplierFactoryAdapter,254,36,35,1,50,9,23,2,5,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,Base64SupplierFactoryAdapter.new Function() {...},9,27,1,1,3,7,1,4,0,4
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,TextSupplierFactoryAdapter,7,12,2,0,1,4,2,2,1,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,ContentAdapterFactory,0,65,0,0,0,18,0,2,0,2
Nasdanika Exec Generation Adapters,org.nasdanika.exec.gen.content,Base64SupplierFactoryAdapter,0,34,0,0,0,8,0,3,0,3
