GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika Graph,org.nasdanika.graph.processor,HandlerType,27,0,0,0,5,0,1,0,1,0
Nasdanika Graph,org.nasdanika.graph.processor,ReflectiveProcessorFactory.new ProcessorConfig() {...},27,0,0,0,5,0,5,0,5,0
Nasdanika Graph,org.nasdanika.graph.processor,ReflectiveProcessorFactory.new NodeProcessorConfig() {...},52,0,0,0,9,0,9,0,9,0
Nasdanika Graph,org.nasdanika.graph.processor,ReflectiveProcessorFactory.new ConnectionProcessorConfig() {...},91,0,8,0,15,0,13,0,9,0
Nasdanika Graph,org.nasdanika.graph.processor,ProcessorFactory,77,0,2,0,15,0,11,0,10,0
Nasdanika Graph,org.nasdanika.graph.processor,NopEndpointReflectiveProcessorFactory,5,0,0,0,2,0,1,0,1,0
Nasdanika Graph,org.nasdanika.graph.processor,ProcessorInfo.new ProcessorInfo() {...},28,0,2,0,4,0,5,0,4,0
Nasdanika Graph,org.nasdanika.graph.processor,Helper,9,0,0,0,4,0,2,0,2,0
Nasdanika Graph,org.nasdanika.graph.processor,IntrospectionLevel,21,0,0,0,4,0,1,0,1,0
Nasdanika Graph,org.nasdanika.graph.processor,ReflectiveProcessorFactory,2567,0,284,0,430,0,268,0,126,0
Nasdanika Graph,org.nasdanika.graph.processor,NopEndpointProcessorFactory,2,0,0,0,1,0,1,0,1,0
Nasdanika Graph,org.nasdanika.graph.processor,ProcessorFactoryVisitor.new NodeProcessorConfig() {...},92,0,0,0,11,0,12,0,12,0
Nasdanika Graph,org.nasdanika.graph.processor,ProcessorFactory.new ProcessorFactory() {...},44,0,4,0,7,0,5,0,3,0
Nasdanika Graph,org.nasdanika.graph.processor,ProcessorFactoryVisitor.new ConnectionProcessorConfig() {...},100,0,4,0,15,0,12,0,10,0
Nasdanika Graph,org.nasdanika.graph.processor,ProcessorInfo,7,0,0,0,1,0,1,0,1,0
Nasdanika Graph,org.nasdanika.graph.processor,ProcessorFactoryVisitor.new ProcessorConfig() {...},50,0,0,0,7,0,6,0,6,0
Nasdanika Graph,org.nasdanika.graph.processor,ProcessorFactoryVisitor.new Helper() {...},38,0,0,0,6,0,4,0,4,0
Nasdanika Graph,org.nasdanika.graph.processor,ProcessorFactoryVisitor,448,0,38,0,75,0,41,0,22,0
Nasdanika Graph,org.nasdanika.graph.processor.emf,PropertySourceEObjectFactory.new Marked() {...},19,0,0,0,2,0,2,0,2,0
Nasdanika Graph,org.nasdanika.graph.processor.emf,ProcessorConfigAdapter,29,0,2,0,8,0,7,0,6,0
Nasdanika Graph,org.nasdanika.graph.processor.emf,ResourceSetPropertySourceEObjectFactory.new Context() {...},78,0,10,0,18,0,8,0,3,0
Nasdanika Graph,org.nasdanika.graph.processor.emf,ResourceSetPropertySourceEObjectFactory,227,0,26,0,47,0,22,0,9,0
Nasdanika Graph,org.nasdanika.graph.processor.emf,NodeProcessorConfigAdapter,29,0,0,0,7,0,6,0,6,0
Nasdanika Graph,org.nasdanika.graph.processor.emf,AbstractEObjectFactory,961,0,132,0,176,0,91,0,25,0
Nasdanika Graph,org.nasdanika.graph.processor.emf,LinkedResourcesAdapter,18,0,2,0,4,0,4,0,3,0
Nasdanika Graph,org.nasdanika.graph.processor.emf,ConnectionProcessorConfigAdapter,31,0,0,0,9,0,6,0,6,0
Nasdanika Graph,org.nasdanika.graph.processor.emf,PropertySourceEObjectFactory,1410,0,162,0,311,0,128,0,47,0
Nasdanika Graph,org.nasdanika.graph.processor.emf,GraphProcessorResource,122,0,12,0,21,0,12,0,6,0
Nasdanika Graph,org.nasdanika.graph,Element,215,0,18,0,33,0,25,0,16,0
