GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika Persistence,org.nasdanika.persistence,TypedSupplierFactoryAttribute.new Function() {...},68,0,8,0,14,0,8,0,4,0
Nasdanika Persistence,org.nasdanika.persistence,InputStreamSupplierFactoryAttribute,9,0,0,0,3,0,2,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,Feature,5,0,0,0,1,0,1,0,1,0
Nasdanika Persistence,org.nasdanika.persistence,ConfigurationException,147,0,20,0,28,0,26,0,16,0
Nasdanika Persistence,org.nasdanika.persistence,SupplierFactoryFeatureObject,48,0,4,0,7,0,4,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,ObjectLoaderResource,388,0,46,0,71,0,29,0,6,0
Nasdanika Persistence,org.nasdanika.persistence,MapSupplierFactoryAttribute,64,0,8,0,11,0,6,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,FunctionAttribute,17,0,0,0,4,0,2,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,DispatchingLoader,81,0,6,0,14,0,7,0,4,0
Nasdanika Persistence,org.nasdanika.persistence,EnumAttribute,27,0,0,0,6,0,2,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,FeatureObjectAttribute,26,0,0,0,6,0,2,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,FactoryFeature,21,0,0,0,4,0,2,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,MarkedLinkedHashMap,66,0,4,0,18,0,9,0,7,0
Nasdanika Persistence,org.nasdanika.persistence,EnumSupplierFactoryAttribute.new Function() {...},39,0,2,0,8,0,5,0,4,0
Nasdanika Persistence,org.nasdanika.persistence,EnumSupplierFactoryAttribute,24,0,0,0,6,0,3,0,3,0
Nasdanika Persistence,org.nasdanika.persistence,ConfigurationException.new ThreadLocal() {...},7,0,0,0,2,0,2,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,ClassLoaderObjectLoader,113,0,8,0,17,0,6,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,ListAttribute,64,0,4,0,12,0,6,0,4,0
Nasdanika Persistence,org.nasdanika.persistence,MarkerImpl,112,0,20,0,27,0,19,0,9,0
Nasdanika Persistence,org.nasdanika.persistence,FeatureObjectMapAttribute,27,0,0,0,6,0,2,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,FunctionSupplierFactoryAttribute,16,0,0,0,4,0,2,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,InterpolatedCollectionSupplierFactoryAttribute,12,0,0,0,3,0,2,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,ListSupplierFactoryAttribute,60,0,8,0,13,0,6,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,DelegatingSupplierFactoryFeature,12,0,0,0,3,0,2,0,2,0
Nasdanika Persistence,org.nasdanika.persistence,Markable,5,0,0,0,2,0,1,0,1,0
Nasdanika Persistence,org.nasdanika.persistence,MarkedArrayList,19,0,0,0,6,0,4,0,4,0
Nasdanika Persistence,org.nasdanika.persistence,ObjectLoaderResourceFactory,136,0,12,0,29,0,16,0,10,0
