GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika Resources,org.nasdanika.resources,Entity,199,0,10,0,25,0,9,0,4,0
Nasdanika Resources,org.nasdanika.resources,Resource,20,24,5,5,6,5,6,3,3,1
Nasdanika Resources,org.nasdanika.resources,FileSystemResource,65,0,4,0,13,0,9,0,7,0
Nasdanika Resources,org.nasdanika.resources,EphemeralEntityContainer.new EphemeralEntityContainer() {...},0,15,0,0,0,3,0,3,0,3
Nasdanika Resources,org.nasdanika.resources,EphemeralEntityContainer.new EphemeralEntity() {...},44,15,0,0,4,3,2,3,2,3
Nasdanika Resources,org.nasdanika.resources,FileSystemEntity,189,0,14,0,37,0,14,0,7,0
Nasdanika Resources,org.nasdanika.resources,EntityContainer,17,122,5,7,2,19,4,6,0,4
Nasdanika Resources,org.nasdanika.resources,EphemeralBinaryEntityContainer.new EphemeralBinaryEntityContainer() {...},0,15,0,0,0,3,0,3,0,3
Nasdanika Resources,org.nasdanika.resources,EphemeralBinaryEntityContainer,0,31,0,0,0,6,0,6,0,6
Nasdanika Resources,org.nasdanika.resources,MapContainer.new MapContainer() {...},15,0,0,0,3,0,3,0,3,0
Nasdanika Resources,org.nasdanika.resources,BinaryContainerImpl,70,13,4,0,14,4,11,2,9,2
Nasdanika Resources,org.nasdanika.resources,EphemeralBinaryEntityContainer.new EphemeralBinaryEntity() {...},0,15,0,0,0,3,0,3,0,3
Nasdanika Resources,org.nasdanika.resources,EphemeralBinaryEntity,91,54,13,5,24,13,13,6,5,5
Nasdanika Resources,org.nasdanika.resources,Container.new ContainerFilter() {...},9,0,0,0,2,0,2,0,2,0
Nasdanika Resources,org.nasdanika.resources,Container.new Container() {...},140,22,6,0,24,2,14,2,11,2
Nasdanika Resources,org.nasdanika.resources,Container.new ContainerFilter() {...},104,0,12,0,16,0,13,0,7,0
Nasdanika Resources,org.nasdanika.resources,EphemeralEntity,16,17,2,0,5,5,5,4,4,4
Nasdanika Resources,org.nasdanika.resources,FileSystemContainer,385,0,32,0,57,0,27,0,11,0
Nasdanika Resources,org.nasdanika.resources,Container,547,172,42,10,69,23,35,8,13,4
Nasdanika Resources,org.nasdanika.resources,Entity.new Entity() {...},150,0,12,0,21,0,21,0,15,0
Nasdanika Resources,org.nasdanika.resources,EphemeralEntityContainer,6,31,0,0,2,6,2,6,2,6
Nasdanika Resources,org.nasdanika.resources,MapContainer,402,267,28,18,50,46,24,15,7,9
Nasdanika Resources,org.nasdanika.resources,BinaryEntityContainer,0,24,0,0,0,5,0,5,0,5
Nasdanika Resources,org.nasdanika.resources,ContainerFilter,64,0,0,0,16,0,11,0,11,0
Nasdanika Resources,org.nasdanika.resources,EntityContainer.new Container() {...},198,59,14,2,22,7,16,5,8,5
Nasdanika Resources,org.nasdanika.resources,EntityContainer.new FilterInputStream() {...},0,8,0,0,0,2,0,2,0,2
Nasdanika Resources,org.nasdanika.resources,ResourceContainer,206,0,8,0,17,0,8,0,4,0
