GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EPackageActionSupplier,210,210,24,8,38,34,18,9,2,7
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EEnumLiteralActionSupplier,0,45,0,0,0,6,0,2,0,2
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EEnumActionSupplier,8,140,2,6,1,28,3,6,1,4
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EReferenceActionSupplier,30,54,1,5,4,11,2,4,1,2
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EcoreActionSupplierAdapterFactory,5,363,6,18,1,57,6,23,0,17
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EClassifierActionSupplier,25,139,7,9,6,29,6,8,0,6
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EClassActionSupplier,264,1807,25,99,51,285,23,77,2,34
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,ETypedElementActionSupplier,0,128,2,4,0,24,2,6,0,5
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EDataTypeActionSupplier,0,107,1,3,0,14,1,4,0,3
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EAttributeActionSupplier,0,8,0,0,0,2,0,1,0,1
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EClassActionSupplier.new PlantUmlTextGenerator() {...},38,0,0,0,6,0,6,0,6,0
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EClassActionSupplier.new MermaidTextGenerator() {...},37,0,0,0,6,0,6,0,6,0
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EClassActionSupplier.new MarkdownHelper() {...},20,9,2,0,2,1,3,1,2,1
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EOperationActionSupplier,82,213,3,11,12,45,2,9,0,4
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EParameterActionSupplier,6,30,0,0,2,6,0,2,0,2
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EPackageActionSupplier.new MermaidTextGenerator() {...},34,0,0,0,6,0,6,0,6,0
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,ENamedElementActionSupplier,8,32,0,0,1,6,1,3,1,3
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EStructuralFeatureActionSupplier,12,79,1,1,1,16,1,3,0,3
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EObjectActionSupplier,0,11,0,0,0,4,0,2,0,2
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EModelElementActionSupplier.new MarkdownHelper() {...},20,9,2,0,2,1,3,1,2,1
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EModelElementActionSupplier.new MarkdownHelper() {...},3,26,1,1,0,3,1,3,0,3
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EPackageActionSupplier.new PlantUmlTextGenerator() {...},35,0,0,0,6,0,6,0,6,0
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EModelElementActionSupplier.new PropertyComputer() {...},22,86,8,14,6,22,7,6,0,2
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,EModelElementActionSupplier,301,716,55,79,71,157,43,51,4,23
Nasdanika HTML Ecore documentation,org.nasdanika.html.ecore,GenModelResourceSet,53,24,8,0,10,5,5,1,1,1
