GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator,1584,1450,270,112,302,293,173,83,13,52
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,PageSupplierFactoryAdapter.new Supplier() {...},3,209,8,8,0,34,7,5,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,NavigationPanelConsumerFactoryAdapter,2,192,4,16,0,39,4,14,0,8
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator.new Map.Entry() {...},4,13,0,0,1,3,1,3,1,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator.new Map.Entry() {...},4,15,0,0,1,3,1,3,1,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,AppAdapterFactory,0,139,0,0,0,20,0,10,0,10
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,DynamicTableBuilder,312,0,20,0,71,0,22,0,12,0
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,LinkSupplierFactoryProviderAdapter,11,32,2,4,2,7,2,3,0,2
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,LinkTagSupplierFactoryAdapter,29,183,7,23,7,45,6,12,0,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,AppGenObjectLoaderExecutionParticipant,0,16,0,0,0,4,0,2,0,2
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SemanticSiteGenerator.new EObjectActionResolver.Context() {...},52,0,6,0,8,0,6,0,3,0
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,LabelTagSupplierFactoryAdapter,10,151,1,15,0,29,1,12,0,5
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator.new Iterable() {...},17,0,0,0,2,0,2,0,2,0
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator.new Iterator() {...},4,20,0,0,2,3,1,3,1,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator.new ResolutionListener() {...},73,40,15,5,13,10,12,5,3,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator.new PropertyComputer() {...},27,24,4,0,3,1,3,1,1,1
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator.new PropertyComputer() {...},2,49,2,2,1,3,2,2,0,2
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,ContentPanelConsumerFactoryAdapter.1.1.new BiSupplier() {...},0,14,0,0,0,3,0,3,0,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator.new Util.HTMLProcessor() {...},0,8,0,0,0,2,0,2,0,2
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator.new PropertyComputer() {...},4,54,3,3,1,4,3,2,0,2
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,HeaderConsumerFactoryAdapter.new Function() {...},0,48,0,0,0,8,0,4,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,NavigationPanelConsumerFactoryAdapter.new Function() {...},14,780,9,35,3,136,9,17,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,NavigationPanelConsumerFactoryAdapter.new Function() {...},154,189,6,6,19,40,6,4,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,PageSupplierFactoryAdapter.1.new BiSupplier() {...},0,18,0,0,0,3,0,3,0,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,ContentPanelConsumerFactoryAdapter.1.new BiSupplier() {...},0,23,0,0,0,3,0,3,0,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,Util,732,2506,173,280,167,511,148,135,10,46
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,LabelJsTreeNodeSupplierFactoryAdapter,6,62,1,5,1,17,1,6,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,PageSupplierFactoryAdapter,6,93,6,6,1,25,6,3,0,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,ContentPanelConsumerFactoryAdapter,109,696,7,44,22,129,11,32,5,12
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,PagePartConsumerFactoryAdapter,0,5,0,0,0,2,0,1,0,1
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,LabelSupplierFactoryProviderAdapter,3,39,2,4,1,9,2,4,0,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,AppGenObjectLoaderSupplier,68,0,0,0,13,0,4,0,4,0
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,Util.new NcoreDrawioResourceFactory() {...},14,49,2,2,2,5,4,4,2,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,Util.new BiConsumer() {...},36,25,1,3,7,6,1,3,0,2
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,HeaderConsumerFactoryAdapter,0,113,1,3,0,23,1,5,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,Util.new BiConsumer() {...},18,126,2,8,5,15,3,6,1,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,Util.new ObjectLoaderResourceFactory() {...},2,18,1,1,0,3,1,3,0,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,ContentPanelConsumerFactoryAdapter.new Function() {...},42,462,12,39,11,85,12,21,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGeneratorContributor,10,0,0,0,9,0,9,0,9,0
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,ActionSiteGenerator,74,198,7,7,14,38,7,11,1,10
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,LinkJsTreeNodeSupplierFactoryAdapter,7,22,1,1,1,6,1,3,0,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SemanticSiteGenerator,589,0,36,0,115,0,32,0,14,0
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,NavigationBarConsumerFactoryAdapter,0,72,2,6,0,14,2,5,0,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,LabelTagSupplierFactoryAdapter.new Function() {...},9,125,3,13,1,22,3,9,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,FooterConsumerFactoryAdapter,0,45,0,2,0,8,0,4,0,3
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,Util.HTMLProcessor,0,21,4,6,0,1,4,2,0,1
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,DynamicTableBuilder.new DynamicTableBuilder.ColumnBuilder() {...},71,0,6,0,13,0,6,0,3,0
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,FooterConsumerFactoryAdapter.new Function() {...},0,87,0,4,0,17,0,6,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,NavigationBarConsumerFactoryAdapter.new Function() {...},0,61,0,0,0,13,0,4,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,LabelJsTreeNodeSupplierFactoryAdapter.new Function() {...},19,183,7,21,3,39,7,11,0,4
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,SiteGenerator.8.new Iterator() {...},86,0,14,0,14,0,11,0,4,0
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,LabelTagSupplierFactoryAdapter.new Function() {...},8,293,3,27,3,60,3,19,0,6
Nasdanika Application Model Generation Adapters,org.nasdanika.html.model.app.gen,LinkJsTreeNodeSupplierFactoryAdapter.new Consumer() {...},75,76,11,7,16,19,7,6,0,4
