GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,AlertSupplierFactoryAdapter.new Consumer() {...},40,0,0,0,7,0,4,0,4,0
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,BootstrapElementConsumerFactoryAdapter.new Function() {...},0,15,0,0,0,4,0,4,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,BootstrapElementConsumerFactoryAdapter.new Function() {...},0,13,0,0,0,4,0,4,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,CarouselSupplierFactoryAdapter.new Function() {...},318,0,18,0,56,0,13,0,4,0
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,BootstrapElementSupplierFactoryAdapter,5,44,0,2,1,9,1,5,1,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,SlideSupplierFactoryAdapter,17,0,0,0,4,0,2,0,2,0
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,CardSupplierFactoryAdapter.new Supplier() {...},69,0,6,0,14,0,7,0,4,0
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,ModalSupplierFactoryAdapter.1.new BiSupplier() {...},0,18,0,0,0,3,0,3,0,3
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,BootstrapElementSupplierFactoryAdapter.new Function() {...},0,15,0,0,0,4,0,4,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,BootstrapElementSupplierFactoryAdapter.new Function() {...},0,13,0,0,0,4,0,4,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,CardSupplierFactoryAdapter.1.new BiSupplier() {...},18,0,0,0,3,0,3,0,3,0
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,ModalSupplierFactoryAdapter,0,84,2,8,0,21,2,6,0,3
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,CarouselSupplierFactoryAdapter,32,0,0,0,5,0,2,0,2,0
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableConsumerFactoryAdapter,0,72,3,3,0,16,3,3,0,3
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableCellConsumerFactoryAdapter.new Function() {...},12,50,2,4,2,12,2,5,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,DivSupplierFactoryAdapter,5,0,0,0,2,0,1,0,1,0
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,PageSupplierFactoryAdapter.new Function() {...},52,140,7,9,10,24,6,6,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,BootstrapElementConsumerFactoryAdapter,0,40,0,2,0,10,0,5,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,AppearanceConsumerFactoryAdapter,113,468,34,64,19,111,34,24,0,8
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,BootstrapGenObjectLoaderExecutionParticipant,0,25,0,0,0,7,0,3,0,3
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,ModalSupplierFactoryAdapter.new Supplier() {...},33,85,6,6,8,18,5,6,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableSupplierFactoryAdapter.new Supplier() {...},0,22,0,0,0,4,0,4,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,ModalSupplierFactoryAdapter.new Consumer() {...},0,51,0,0,0,7,0,4,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableSupplierFactoryAdapter,0,36,0,0,0,7,0,3,0,3
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,CardSupplierFactoryAdapter,66,0,6,0,17,0,6,0,3,0
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableSectionConsumerFactoryAdapter,0,5,0,0,0,2,0,1,0,1
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TagSupplierFactoryAdapter,0,30,0,2,0,7,0,3,0,2
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableConsumerFactoryAdapter.1.new BiSupplier() {...},0,19,0,0,0,3,0,3,0,3
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableHeaderConsumerFactoryAdapter,0,27,0,0,0,5,0,2,0,2
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableRowConsumerFactoryAdapter.new Function() {...},0,32,0,0,0,8,0,4,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableHeaderConsumerFactoryAdapter.new Consumer() {...},0,26,0,0,0,7,0,4,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableRowContainerConsumerFactoryAdapter,0,37,0,2,0,8,0,3,0,2
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,BootstrapAdapterFactory,30,219,0,0,5,42,5,9,5,9
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,SlideSupplierFactoryAdapter.new Consumer() {...},33,0,2,0,8,0,5,0,4,0
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,AlertSupplierFactoryAdapter,17,0,0,0,4,0,2,0,2,0
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,PageSupplierFactoryAdapter,7,10,2,0,1,3,2,2,1,2
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableCellConsumerFactoryAdapter,0,26,0,0,0,7,0,3,0,3
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableConsumerFactoryAdapter.new Function() {...},0,86,3,3,0,18,3,4,0,4
Nasdanika Bootstrap Model Generation Adapters,org.nasdanika.html.model.bootstrap.gen,TableRowConsumerFactoryAdapter,0,47,0,0,0,11,0,3,0,3
