GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika HTML,org.nasdanika.html,Form.Method,15,0,0,0,1,0,1,0,1,0
Nasdanika HTML,org.nasdanika.html,NamedItemsContainer,23,0,2,0,6,0,3,0,2,0
Nasdanika HTML,org.nasdanika.html,Color,843,0,0,0,141,0,1,0,1,0
Nasdanika HTML,org.nasdanika.html,HTMLElement,8,0,0,0,2,0,1,0,1,0
Nasdanika HTML,org.nasdanika.html,InputType.new InputType() {...},21,0,2,0,5,0,3,0,2,0
Nasdanika HTML,org.nasdanika.html,InputType.new InputType() {...},8,0,0,0,2,0,2,0,2,0
Nasdanika HTML,org.nasdanika.html,Button.Type,21,0,0,0,1,0,1,0,1,0
Nasdanika HTML,org.nasdanika.html,TagName,5,721,0,0,1,120,1,4,1,4
Nasdanika HTML,org.nasdanika.html,ProducerException,20,0,0,0,8,0,4,0,4,0
Nasdanika HTML,org.nasdanika.html,HTMLElement.new Object() {...},363,0,55,0,72,0,34,0,5,0
Nasdanika HTML,org.nasdanika.html,OrderedListType,91,0,4,0,15,0,5,0,3,0
Nasdanika HTML,org.nasdanika.html,HTMLFactory,0,5,0,0,0,1,0,1,0,1
Nasdanika HTML,org.nasdanika.html,TokenSource,6,0,0,0,2,0,1,0,1,0
Nasdanika HTML,org.nasdanika.html,InputType,174,0,2,0,32,0,6,0,5,0
Nasdanika HTML,org.nasdanika.html,Form.EncType,32,0,0,0,7,0,2,0,2,0
Nasdanika HTML,org.nasdanika.html,Container,10,0,0,0,2,0,1,0,1,0
Nasdanika HTML,org.nasdanika.html,HTMLElementFilter,175,0,0,0,46,0,27,0,27,0
Nasdanika HTML,org.nasdanika.html,Event,183,0,0,0,31,0,1,0,1,0
Nasdanika HTML,org.nasdanika.html.impl,FragmentImpl,115,0,10,0,28,0,13,0,8,0
Nasdanika HTML,org.nasdanika.html.impl,SelectImpl.OptionGroupImpl,74,0,6,0,15,0,8,0,5,0
Nasdanika HTML,org.nasdanika.html.impl,TableImpl.TableBodyImpl,9,0,0,0,3,0,1,0,1,0
Nasdanika HTML,org.nasdanika.html.impl,StyleImpl.NormalNoneInitialInheritImpl,32,0,0,0,8,0,6,0,6,0
Nasdanika HTML,org.nasdanika.html.impl,RowContainerImpl,128,0,10,0,21,0,10,0,5,0
Nasdanika HTML,org.nasdanika.html.impl,StyleImpl.1.new Style.Font.FontVariant() {...},13,0,0,0,4,0,2,0,2,0
